	Date	Month	Year
1:	4		9		1993		
2:	26		11		1993		
3:	5		9		1993		
4:	1		8		1993		
5:	23		9		1992		
6:	7		4		1993		
7:	11		12		1993		
8:	14		9		1993		
9:	17		9		1993		
10:	18		4		1992		
11:	14		6		1993		
12:	3		4		1992		
13:	28		8		1992		
14:	25		2		1993		
15:	22		2		1993		
16:	6		3		1992		
17:	23		12		1993		
18:	12		11		1992		
19:	29		7		1992		
20:	7		8		1993		
21:	8		2		1993		
22:	2		2		1993		
23:	15		2		1993		
24:	15		1		1992		
25:	26		11		1993		
26:	26		10		1992		
27:	14		2		1993		
28:	30		5		1992		
29:	19		3		1993		
30:	23		11		1992		
31:	26		4		1992		
32:	9		5		1993		
33:	11		11		1992		
34:	6		6		1992		
35:	30		4		1992		
36:	26		5		1993		
37:	16		12		1993		
38:	18		5		1992		
39:	29		3		1993		
40:	19		4		1993		
41:	25		8		1992		
42:	30		3		1992		
43:	11		10		1992		
44:	24		7		1992		
45:	27		10		1992		
46:	13		8		1993		
47:	19		1		1993		
48:	23		4		1992		
49:	10		5		1992		
50:	27		8		1993		
